Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-06,18:00:00,2417.25,2421.65,2416.94,2421.3,0,0
2017-07-06,19:00:00,2421.35,2422.19,2418.23,2420.65,0,0
2017-07-06,20:00:00,2420.7,2423.47,2417.41,2417.85,0,0
2017-07-06,21:00:00,2417.86,2417.98,2412.87,2415.14,0,0
2017-07-06,22:00:00,2414.95,2415.39,2407.7,2409.75,0,0
2017-07-07,16:00:00,2414.14,2419.66,2414.14,2419.07,0,0
2017-07-07,17:00:00,2418.96,2419.57,2414.94,2417.3,0,0
2017-07-07,18:00:00,2417.32,2424.23,2416.71,2423.41,0,0
2017-07-07,19:00:00,2423.51,2426.14,2423.51,2425.57,0,0
2017-07-07,20:00:00,2425.58,2426.9,2425.08,2426.06,0,0
2017-07-07,21:00:00,2426.25,2426.59,2424.46,2424.46,0,0
2017-07-07,22:00:00,2424.49,2426.65,2423.57,2425.18,0,0
2017-07-10,16:00:00,2424.34,2426.34,2422.43,2422.7,0,0
2017-07-10,17:00:00,2422.92,2428.7,2422.92,2428.7,0,0
2017-07-10,18:00:00,2428.68,2429.59,2427.76,2429.45,0,0
2017-07-10,19:00:00,2429.44,2430.84,2429.21,2430.6,0,0
2017-07-10,20:00:00,2430.63,2431.39,2429.74,2431.1,0,0
2017-07-10,21:00:00,2431.11,2431.4,2429.59,2429.73,0,0
2017-07-10,22:00:00,2429.69,2432,2427.43,2427.43,0,0
2017-07-11,16:00:00,2426.41,2426.71,2423.21,2424.16,0,0
2017-07-11,17:00:00,2424.19,2427.78,2423.63,2427.49,0,0
2017-07-11,18:00:00,2427.5,2427.75,2412.9,2422.25,0,0
2017-07-11,19:00:00,2422.26,2423.42,2419.1,2422.4,0,0
2017-07-11,20:00:00,2422.36,2426.52,2420.59,2426.19,0,0
2017-07-11,21:00:00,2426.25,2427.7,2424.85,2425.52,0,0
